cutoff,b,se_b,a,se_a,cov_ab,b_star,edge_c,edge_se_c,edge_lo_c,edge_hi_c,edge_z,best_price,n_windows,n_obs,share
0.0,1.1544269157185458,0.015711702941863793,0.032846968045731374,0.03853352897596902,2.3684887810672593e-05,1.0628644646426195,1.8963730631105549,0.5003789401069164,0.9156303405009987,2.877115785720111,3.789873855812867,0.8465183069619999,21107,105520,1.0
0.01,1.1154775944753088,0.02059880997822878,0.03385087138163282,0.03871821431016738,3.93606411816344e-05,1.0628644646426624,1.2030410435897851,0.5537956141368438,0.11760163988157135,2.288480447297999,2.1723556721641204,0.8598482803019999,8545,30790,0.29179302501895377
0.02,1.1174268283978708,0.022249443354265562,0.036387252337694125,0.03906873148896173,3.5505337341166706e-05,1.0628644646426395,1.2642443673771147,0.5798413005173167,0.12775541836317394,2.4007333163910554,2.180328248866016,0.857388285222,7231,24193,0.22927407126611068
0.03,1.1200649659088946,0.023552760185330826,0.03506986934899792,0.03937319455685722,4.482119542470506e-05,1.0628644646426162,1.29895228255748,0.6007411096827306,0.12149970757932782,2.4764048575356323,2.1622496972839023,0.8571637856709999,6425,21039,0.19938400303260045
0.04,1.124030286024986,0.024878226739419213,0.03309970402960158,0.03972895979581078,5.356035513188798e-05,1.0628644646426788,1.3510614463434651,0.6216678819552102,0.1325923977112533,2.5695304949756768,2.1732849413005484,0.8568227863529999,5872,18898,0.1790940106141016
0.05,1.1288577785088652,0.025777562213451052,0.03485142465173776,0.04004215807512313,4.678114082217197e-05,1.0628644646427692,1.4565904372977097,0.6368532651265746,0.20835803764962346,2.704822836945796,2.287168044915672,0.8539117921749999,5479,17418,0.16506823351023503
0.06,1.1205593653813188,0.027075558665557265,0.036213806721060664,0.04026056803944174,4.235177879833152e-05,1.0628644646426613,1.3196195428822501,0.6546444951802755,0.036516332328910384,2.60272275343559,2.015780400809533,0.856240287518,5105,16000,0.1516300227445034
0.07,1.1196919704283335,0.02817295231929276,0.037204596202805064,0.04050759665466894,4.542623268818629e-05,1.062864464642625,1.31393266506032,0.6733704053925603,-0.005873329509098246,2.6337386596297385,1.9512777136297308,0.8559527880929999,4824,14995,0.1421057619408643
0.08,1.1118721381356342,0.029315569310635923,0.0411450939338127,0.04070445256569172,3.9060543235302216e-05,1.0628885388948826,1.2111985672825711,0.6925633045422419,-0.14622550962022296,2.568622644185365,1.748863330382668,0.8565337869309999,4590,14148,0.13407884761182715
0.09,1.1131770668728087,0.030363566154631903,0.04505615184645032,0.040959787007286766,3.56114076297489e-05,1.063323573509162,1.2757379408630554,0.7138436828460868,-0.1233956775152747,2.674871559241385,1.7871390775312355,0.853381793235,4417,13509,0.12802312357846854
0.1,1.1064987313744088,0.03146904973351879,0.04295255335423298,0.04114516119321929,4.1823126419046126e-05,1.064207637086933,1.1309066652536042,0.7284487473184996,-0.2968528794906551,2.558666209997863,1.5524862516636848,0.8575647848689999,4256,12952,0.12274450341167552
0.11,1.092592119529756,0.032842135925916546,0.037559865552782595,0.04132906911230449,5.034870904557532e-05,1.0654553480481566,0.8209132158946781,0.7372572817774632,-0.6241110563891497,2.2659374881785057,1.1134691188339676,0.8682397635189999,4109,12285,0.11642342683851403
0.12,1.0807241367876617,0.03402050585655588,0.03645421974404812,0.04151058837736621,4.886112606502741e-05,1.0670140087530524,0.5929093368697128,0.7436132043864074,-0.8645725437276458,2.0503912174670713,0.7973356758221528,0.876211747575,3972,11702,0.11089840788476119
0.13,1.0826633452590024,0.03539626710463796,0.03859797643352449,0.04178057394632389,5.072449829749647e-05,1.0688513972766311,0.6486175662364915,0.7730400107712805,-0.8665408548752183,2.163775987348201,0.8390478593589874,0.873195753607,3824,11171,0.10586618650492798
0.14,1.0830770341199587,0.03665520053235593,0.03650844490126556,0.0420613936715391,5.912775818688504e-05,1.070948920484148,0.6364242397076412,0.791562546699191,-0.9150383518227732,2.1878868312380555,0.8040100461568385,0.8746512506959999,3704,10704,0.10144048521607278
0.15,1.0882329069900076,0.03817161144655629,0.03927796113078942,0.0423790337551971,6.578498363462025e-05,1.07329761491358,0.7575021180475817,0.8281774389278553,-0.8657256622510147,2.380729898346178,0.9146616201332788,0.869332261334,3603,10280,0.09742228961334344
0.16,1.097016272530272,0.040116887554691824,0.03654545455350835,0.04281344427495156,7.472135237431739e-05,1.0758957549906847,0.8921832481602463,0.8625236078585122,-0.7983630232424377,2.58272951956293,1.0343870475329637,0.866649766699,3473,9735,0.0922573919636088
0.17,1.0831180626247767,0.04206798430155718,0.0339687736688296,0.043123333653928314,7.344988715307315e-05,1.0787474208971102,0.6134321579229138,0.8784342086284332,-1.1082988909888154,2.3351632068346433,0.6983245323297604,0.8766957466069999,3357,9309,0.08822024260803639
0.18,1.0922069362927038,0.04366964660366132,0.03289287564481025,0.04343147790144599,6.945577010478149e-05,1.0818616730868953,0.7689646579887717,0.9102809838702026,-1.0151860703968254,2.553115386374369,0.8447552696524513,0.872003755991,3291,9014,0.08542456406368461
0.19,1.0932021387998239,0.045376611304678204,0.034939246715715785,0.04375523109766048,6.713399945319521e-05,1.0852521356629412,0.806718144818826,0.9435138239380906,-1.0425689500998314,2.6560052397374836,0.8550146530463124,0.869893760211,3200,8712,0.08256254738438211
0.2,1.091334387190288,0.04711861968111774,0.031718472496313106,0.044079251359303524,7.730886751904266e-05,1.0889368772789505,0.7419555822850423,0.9665895451839466,-1.1525599262754929,2.6364710908455775,0.7676014974317198,0.8734022531939999,3112,8388,0.07949203942380591
0.21,1.088785072135261,0.04930242208318771,0.034392223784568146,0.044559638904995584,6.282248685604294e-05,1.0929385294267633,0.7207512102839211,1.0054042760802082,-1.249841170833287,2.691343591401129,0.7168770090116681,0.872845754307,2995,8016,0.0759666413949962
0.22,1.1077878737726907,0.05144799826104079,0.0435608584533929,0.04502798761222706,5.169294509926855e-05,1.09728461472583,1.1609261606617873,1.065130182423407,-0.9267289968880901,3.2485813182116647,1.0899382815539256,0.8565912868159999,2926,7695,0.07292456406368461
0.23,1.1171262336378691,0.054104467552775794,0.0485708487464687,0.045564326923836336,2.245989380035053e-05,1.1020080811433086,1.3855404685086448,1.112186446080967,-0.7943449658100505,3.5654259028273403,1.2457807532099503,0.849565300868,2836,7361,0.0697592873388931
0.24,1.1018359740920929,0.0562796300486306,0.049019431646563236,0.04591768522631992,4.0207913992029904e-05,1.107148057163014,1.1074986070828758,1.1563293169386193,-1.158906854116818,3.3739040682825694,0.9577709315672954,0.8552452895079999,2767,7084,0.06713419257012888
0.25,1.0932990281011796,0.05910887496097158,0.05428482431936017,0.04650056303202749,1.8573614304494046e-05,1.112750861236921,1.003669885131731,1.2129000551843505,-1.373614223029596,3.380953993293058,0.8274959514114142,0.8550042899899999,2682,6772,0.06417740712661107
